user_id,character,good_at,bad_at,friends,feature_school,time_ratio,grades,subject_choice,reason_subject_choice,club_activities,hobby,dream,if_high_school_again
1,"浮いてる変なやつ
誰にも関心がない","何かをいつまでも考え続ける事

枠組みを外して視点を変えて味わう、バックに流れる変奏曲を沢山想定して遊んでみること

異次元にスリップして出てこないことも","フツーの悩み理解できない

バイト代が足りないとか、恋愛問題とか、進路を選ぶ基準がなくて選べないのに選択を迫られるとか、周りの悩みがピンとこない","100％誰とでも上手く付き合えるご機嫌なタイプの人には友達にしてもらえましたね

友人には何かしらにこだわりを持った人が多かった気がします",比較的新しかった都立高校の8期生でした　共学普通科,"全体に生徒会、部活中心、宿題は授業中と帰宅前に済ませるタイプでした
高一　生徒会5: 勉強5 (クラブがなかったので)
高二　生徒会3  : 部活5 : 勉強2
高三　部活4: 生徒会2: 出席日数勘定4
高三では自活を始めたので登校日数はギリギリに
","英語は赤点で退学騒ぎ。
物理は全国模試でトップに。
数学と音楽は常に上位の成績",芸術とロジック,音大受験を目指したが経済的に無理があった,吹奏楽、図書委員,"音楽でコミュニケーション
30代からは英語でコミュニケーション",人類初の木星でのライブ演奏をする,"のだめカンタービレみたいに思い切り音楽に切り込んで(普通科でなく芸術高校進学) パフォーマンス専攻を極める一方で

高校生大臣という職制を立案し自ら立候補して政策を先導したり、世界中の高校生と同時多発国際プロジェクトを展開して、日本初の未成年通貨を発行して高校生だけの独立自治を開始する。"
2,委員長みたいなものによくなった,ものをつくること,コミュニケーション,いなかった,変,ひたすらギター練習、バイト、美術予備校にもぐりこむ,現国、生物。芸術科目はふざけすぎて評価されず,美術,落ちこぼれたから選択肢がなかったら,軽音,魚釣り,ジャズミュージシャン,全てを捨てて音楽学習に集中する
3,我が道を行く,理屈で物事を考える。人に説明する,体を動かす,個性の強い人、オタクが多かった。,工業高校（情報技術科）。マニア（オタク）が多い。,勉強：部活＝7：3　くらいだったかな…,得意なのは専門科目（情報）や音楽。苦手なのは体育や英語,理系,小学生の頃からプログラムが好きで、この道に進みたかった,写真部、鉄道研究部、文化祭実行委員,読書、写真、音楽,コンピュータの世界で生きていく,もう少し恋愛にチャレンジしてもよかったのでは…
4,リーダ的な事が多かった、でも苦手でした,細かい作業が得意、ゆっくり作業,人に言葉を考えるのが苦手でした,大人しい,皆仲良かった,,国語はクラスで1番でした　苦手は体育,文系,,吹奏楽部,ビーズアクセサリー作成、編み物、カメラ,ピアノの先生,授業をもう一度受けたい
5,周りをよく観察するタイプ,制作物に丁寧に取り組む。当時PCが一家に一台あるかないかの時代だったため、文書作成等は周囲より得意だった。,友人関係(どのグループにも染まらない気質、性格だったため),ほとんどが運動部,絵に書いたような「普通科」,授業：部活：バイト＝5:2:3,校内ではたまたま英語が良かったが、後述する大学進学後の授業にはついていけなかった,文系,2年生で理系を選択したら、男女比の悪さ(男子偏重)にがっかりし、3年次に文転。,ギター部(実質的には軽音楽部),音楽活動、音楽鑑賞,ロックスター,もっと自分の足でいろんな課外活動を探すこと(例：現在運営している団体をもうこの時点でつくってしまうとか)
6,マニアック、ストイック,早くやること,人と一緒に何かやること,個性の強い人が多い,進学校、自由度高い,部活５：勉強３：遊び２,数学,理系,数学が得意だったから,卓球部,特になし,,
7,ポジティブ、先輩力,まとめる,コミュ,個性強い,,朝練2時間、授業（というなの休憩）、部活4〜5時間、土日はずっと部活,理系得意、文系苦手,商業課,大学行く気がなかった,吹奏楽,楽器演奏、スポーツ,とくになし,変わらない
8,聞き役。2番手キャラ。,何も考えずに夢中になれること。(筋トレ、道具の手入れとか),意見する。挙手して発言する。,聞き役なのでよく喋る友人が多い。,野球をやりにスポーツ推薦で地域の私立高校に,全寮制の部活だったので9割9分が部活動。学校生活はほぼ寝てた。,レベルの低い学校だったので、どれも得意。進学クラスを除いて学年1位。,文系,理系が男ばかりでむさ苦しい学校だったから。,硬式野球部,草野球、ゴルフ,プロ野球選手だったが、高校入学と同時に、レベルの差を感じ、救急救命士になりたいと思っていた。(両親が医療系ということもあり)でも文系に行ってしまったので、たまたま三者面談で学校の先生とかもありかなーとか言ったらそうなっていった。,もう戻りたくない。やりきった。野球しかしてなかったが打ち込めたのでそれはそれで貴重な経験になっている。
9,話し役が多い,パソコンいじり,青春全般,ヲタばかり,進学校,ヲタ活、ヲタ活、ヲタ活,全般的に落第寸前,文系,学力的に理系は無理,なし,ヲタ活,担任の先生からは死んだ魚の目をしていると言われてました。,もう少しまじめに勉強します。
10,大人しく目立たない。グループでは仲介役が多かった。,決まった事を、時間よりちょっと早くちょっと多くやる事,自分の意見を伝える、発想力のいること,高校やその前から自分のやりたい事が決まっている人。やると決めたら全力で取り組む人。,進学校、自立心の強い人が多い。特に女性は自分の考えや価値観を持った積極的な人が多かった。生徒主導の行事。,"高一 勉強:部活:委員会＝1:8:1
高二 勉強:部活:委員会＝2:8:0
高三 勉強:部活:委員会:その他＝3:2:2:3","現代文、古文、日本史は得意。あとは普通。
成績は10段階評価で8-10。",文系,テストで点が取りやすかったため。,剣道部、委員会は忘れました,読書、映画鑑賞,特にないです。柔軟な考え方が出来る人に憧れてました。,自分の得意分野をのばす。
