user_id,past_jobs,background,turning_point
1,"音楽の傍らやったのは
日英翻訳15年
日本語教師3年
などなど
","様々なアルバイトで不足を補いつつ、音楽で生計を立ててきたとしか言えないなあ

高卒で消防庁の音楽隊を目指すがうまく行かず、アルバイトしつつバンドブームの時代に東京で音楽で生活を始めた。90年代にオーディション合格で渡米しアメリカ有数の音大でジャズの勉強をして20数年そのまま在米。",結婚と、気候変動
2,デイケア職員(3年),運送業、美術運送、人材派遣、建設業、美術家や音楽家としてイベントやワークショップに携わる、福祉スタッフ,鬱病発症
3,プログラマ（業務系）1年　大学実験室職員3年　マイコンエンジニア5年,大学進学と同時にプログラマのアルバイト。その後自分の通う大学の職員となった。大学院に進学した後マイコンエンジニアとして5年働いた後、専門学校に転職。組織改編により大学教員を兼務する形になって現在に至る（2023年度からは大学専任の予定）,30歳になって独身寮を出なければならなくなったタイミングをきっかけに転職をしたこと。
4,OL　5 年OL,試験を受けて稼働できる様になる,以前の楽器てんが閉店、跡地に今の楽器店が入る事になり、試験を受けて稼働する
5,高校教員3年、介護士7年,高校勤務3年の後、体調崩し退職・帰郷。帰郷時に東日本大震災を経験し、災害ボランティアを初めて経験したことをきかっけに福祉やNPOの世界へ。震災の翌年に介護士になり、そのまた翌年に任意団体設立。本業を介護としながら休日に市民活動に従事するスタイルが7年つづき、2020より現職。,"高校勤務を辞して帰郷したときは、挫折。社会の全てが闇に見えた。直後被災し災害ボランティアにチャレンジしたのは、社会貢献的な動機ではなく、自らの社会復帰の最後の可能性をかけてすがる思いで参加した。参加した結果、志ある個性的なボランティアの人、NPOの人と出会い、これまでの上意下達で抑圧されながら組織に体力・精神を供する""旧態依然企業的働き方""からのびのびと自由意志を持って働ける市民セクターでの働き方に出会う。"
6,銀行員７年、不動産会社・経営企画・マーケティング4年　市民活動7年,,
7,税理士事務所5年、協同組合職員5年,やりたい事が多くあったから、上部と衝突、自分でやるしかないと思った。,結婚、子供、独立
8,高校教師3年→（株）リクルート契約社員(営業)3年→（株）リクルート社員(営業リーダー)2年→不動産コンサルタント5年→独立,社会科教員なのに社会を知らない→社会を知るために転職活動→転職動機が面白いとリクルートで中途採用してもらう→営業成績は上位2割にずっといたが年間表彰トップ11には入れず→私の知る営業リーダーは、リクルート内でもヤバいやつしかいなくて、とても自分の実力的に難しいと判断し、転職を上司に伝える→もう次の人材開発会議で名前あげようとしてたのに！と引き留めをいただき、締切していた人材開発会議に特例で入れてもらい社員登用＋営業リーダーに昇格→全国一位の組織表彰→人の作った商材を売るということを続けていくことに飽きたため、不動産やろうと思い、弁護士案件に特化している当時知り合いだった前ボスに入れてくださいと直談判→取締役で採用してもらい、実務を学び、宅建と公認不動産コンサルティングマスターの資格を取り、5年後独立。,自分が常に素直で誠実でいることは武器になる。くだらないプライドとかは邪魔。素直で誠実というのだけで人に助けてもらう経験が多くなると実感している。
9,エンジニア11年,エンジニアをやりつつ過酷な労働環境でメンタルをやられ、リハビリがてらにやった資格試験が合格のタイミングで勢いだけで会社を飛び出す。,精神疾患
10,ホテル5年,ホテルでレストラン業務を5年経験。このまま現場で働き続ける事の難しさと、新しい事にチャレンジしたい気持ちから今の職種に転職。自分の働き方次第で長く継続し稼げるため。,結婚、離婚。
